AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
34,BEZVGAS,20170102,360,999999,0.80000000,1080,29991231,4.20000000
457,TAR02,20131017,0,999999,7.50000000,660,29991231,0.00000000
441,TAR02,20131023,0,999999,0.00000000,60,29991231,0.00000000
200,TAR09,20140101,0,999999,4.60000000,1440,20141017,0.00000000
2062,GAR06,20131030,0,999999,50.00000000,1440,29991231,0.00000000
988,TAR02,20141027,0,999999,0.01333333,1,29991231,0.00000000
2449,TER13,20131107,15,999999,0.30000000,15,29991231,0.00000000
505,GAR09,20131218,0,999999,1.30000000,60,29991231,0.00000000
796,GAR_AV,20200713,0,999999,5.00000000,640,29991231,0.00000000
307,TAR02,20120928,0,999999,0.03166666,1,20130101,0.00000000
2463,GAR05,20131115,0,999999,2.20000000,60,29991231,0.00000000
1883,GAR02,20200713,0,999999,10.00000000,1440,29991231,0.00000000
14,NULL,20120509,0,999999,0.00000000,1,29991231,0.00000000
1729,TAR03,20131024,0,999999,3.00000000,360,29991231,0.00000000
321,GAR01,20131004,120,999999,1.50000000,60,29991231,0.00000000
200,TAR02,20190101,0,999999,0.05150000,1,29991231,0.00000000
473,TAR01,20190301,12,240,0.04166667,1,20191101,0.50000000
546,GAR09,20200713,0,999999,0.56000000,12,29991231,0.00000000
1883,GAR02,20150319,0,999999,5.00000000,1440,20200713,0.00000000
642,GAR01,20130926,120,999999,1.00000000,60,29991231,1.50000000
2449,GAR23,20131107,180,999999,1.50000000,60,29991231,1.00000000
160,NULL,20120423,0,999999,0.00000000,1,29991231,0.00000000
473,TAR01,20190301,240,300,0.30000000,60,20191101,10.00000076
394,NVP_C_WK,20130626,0,999999,13.65000000,10080,20131006,0.00000000
384,DMNCENTRUM,20120427,0,999999,0.00000000,1,20120604,0.00000000
988,GAR01,20200713,0,999999,0.02500000,1,29991231,0.00000000
473,TAR02,20190301,0,120,0.00000000,1,20191101,0.00000000
2062,TER12,20131105,0,999999,1.00000000,47,29991231,0.00000000
512,TAR03,20140903,0,999999,3.00000000,780,20141205,0.00000000
1900,TAR01,20140626,0,999999,0.02000000,1,29991231,0.00000000
758,GAR01,20130926,0,999999,0.50000000,15,29991231,0.00000000
473,TAR01,20190301,300,999999,0.04166667,1,20191101,10.30000076
2453,GAR03,20131111,0,999999,6.00000000,60,29991231,0.00000000
160,DAG02,20140703,0,999999,10.00000000,1440,29991231,0.00000000
90,GAR02,20140618,0,999999,2.40000000,1440,20150101,0.00000000
537,KW05,20200922,120,999999,0.03000000,1,29991231,0.00000000
2449,TER02,20131106,20,999999,1.00000000,60,29991231,0.00000000
473,TAR01,20190301,0,12,0.50000000,12,20191101,0.00000000
344,TAR04,20140101,0,999999,0.04016700,1,20150101,0.00000000
473,TAR02,20190301,132,999999,0.04166667,1,20191101,0.50000000
1783,TAR03,20131024,0,999999,2.00000000,60,29991231,0.00000000
981,GAR02,20131007,0,999999,10.00000000,870,29991231,0.00000000
361,REG01,20120405,0,999999,0.03833333,1,20130501,0.00000000
2449,GAR11,20131107,180,999999,1.50000000,60,29991231,1.50000000
473,DAG01,20190301,0,999999,13.70000000,1440,20191101,0.00000000
855,TAR16,20170403,0,120,0.00458333,1,20200706,0.00000000
297,TAR02,20121026,0,999999,1.29000000,60,20140101,0.00000000
453,DAG01,20120525,0,999999,6.25000000,720,20140101,0.00000000
200,TAR07,20180101,0,999999,0.00716667,1,20190101,0.00000000
361,REG04DAG,20170201,0,999999,0.00462121,1,20170202,0.00000000
2451,TAR01,20130917,30,999999,0.50000000,60,29991231,2.00000000
200,GAR08,20170201,0,999999,0.01930556,1,20170220,0.00000000
855,TAR15,20200706,0,120,0.00450000,1,29991231,0.00000000
855,TAR15,20200706,120,999999,0.00000000,1,29991231,0.54000000
855,TAR03A,20200101,0,999999,16.50000000,1440,20200616,0.00000000
855,TAR15,20191015,120,999999,0.00000000,1,20200706,0.54999960
153,TAR4,20110101,0,300,0.03666667,1,20120101,0.00000000
473,DAG02,20190301,0,999999,11.60000000,1440,20191101,0.00000000
988,GAR06,20141027,0,999999,3.00000000,900,29991231,0.00000000
473,TAR02,20190301,120,132,0.50000000,12,20191101,0.00000000
1900,TAR02,20140731,0,999999,0.01666667,1,29991231,0.00000000
200,TAR06,20180101,0,999999,13.70000000,1440,20190101,0.00000000
957,TAR03,20131018,0,999999,0.02600000,1,29991231,0.00000000
